Date,Time,ProcessName,MemoryUsage,CPU
2025-04-02,07:48:00,gradle,392831 kB,21.7
2025-04-02,08:01:00,spotify,161175 kB,2.1
2025-04-02,08:02:00,csgo_linux,1336387 kB,27.7
2025-04-02,08:14:00,chrome,1358120 kB,8.6
2025-04-02,08:28:00,android-studio,1889016 kB,30.6
2025-04-02,08:37:00,minecraft,1120012 kB,36.0
2025-04-02,08:40:00,zoom,398136 kB,8.8
2025-04-02,08:46:00,firefox,965657 kB,7.2
2025-04-02,08:48:00,chrome,1037416 kB,5.2
2025-04-02,08:58:00,chrome,1433990 kB,21.3
2025-04-02,09:13:00,code,351266 kB,3.1
2025-04-02,09:24:00,firefox,1177748 kB,5.2
2025-04-02,09:33:00,zoom,483370 kB,19.1
2025-04-02,09:37:00,gnome-shell,163393 kB,1.9
2025-04-02,09:41:00,firefox,642786 kB,10.4
2025-04-02,09:56:00,zoom,215997 kB,14.3
2025-04-02,10:00:00,firefox,1059680 kB,17.6
2025-04-02,10:06:00,steam,361546 kB,32.2
2025-04-02,10:18:00,code,380030 kB,8.4
2025-04-02,10:29:00,android-studio,1767911 kB,17.1
2025-04-02,10:39:00,gradle,525053 kB,24.9
2025-04-02,10:45:00,android-studio,1977667 kB,26.9
2025-04-02,10:47:00,firefox,1080349 kB,12.1
2025-04-02,11:01:00,discord,323839 kB,3.5
2025-04-02,11:12:00,csgo_linux,1505693 kB,64.3
2025-04-02,11:14:00,chrome,872586 kB,12.8
2025-04-02,11:18:00,zoom,247408 kB,18.5
2025-04-02,11:24:00,obs,278963 kB,30.0
2025-04-02,11:27:00,steam,520333 kB,31.6
2025-04-02,11:31:00,firefox,785715 kB,14.9
2025-04-02,11:46:00,chrome,1123600 kB,24.1
2025-04-02,11:58:00,csgo_linux,1216834 kB,64.6
2025-04-02,12:02:00,chrome,943260 kB,12.3
2025-04-02,12:13:00,firefox,573116 kB,16.5
2025-04-02,12:15:00,discord,162207 kB,4.7
2025-04-02,12:16:00,Xorg,90586 kB,1.7
2025-04-02,12:30:00,gnome-shell,176316 kB,2.3
2025-04-02,12:42:00,csgo_linux,1789900 kB,51.2
2025-04-02,12:47:00,obs,450153 kB,5.4
2025-04-02,12:48:00,gnome-shell,172252 kB,2.0
2025-04-02,12:51:00,postman,255710 kB,9.7
2025-04-02,12:55:00,android-studio,1142302 kB,24.6
2025-04-02,13:08:00,steam,363410 kB,24.6
2025-04-02,13:16:00,firefox,879624 kB,6.5
2025-04-02,13:29:00,android-studio,1535193 kB,29.8
2025-04-02,13:44:00,gradle,369185 kB,11.0
2025-04-02,13:57:00,steam,348877 kB,21.8
2025-04-02,13:59:00,chrome,1231060 kB,23.1
2025-04-02,14:05:00,csgo_linux,1436501 kB,36.6
2025-04-02,14:16:00,spotify,220338 kB,2.1
2025-04-02,14:18:00,spotify,274328 kB,2.2
2025-04-02,14:33:00,zoom,496164 kB,15.2
2025-04-02,14:38:00,chrome,1325795 kB,9.6
2025-04-02,14:43:00,code,293020 kB,11.4
2025-04-02,14:47:00,obs,348298 kB,28.3
2025-04-02,15:02:00,steam,414484 kB,11.0
2025-04-02,15:07:00,chrome,856321 kB,14.7
2025-04-02,15:21:00,gnome-shell,215917 kB,1.1
2025-04-02,15:32:00,code,325360 kB,9.5
2025-04-02,15:35:00,android-studio,1858768 kB,12.1
2025-04-02,15:44:00,steam,681167 kB,12.3
2025-04-02,15:56:00,gnome-shell,190632 kB,4.3
2025-04-02,16:07:00,steam,408902 kB,13.8
2025-04-02,16:16:00,android-studio,1286504 kB,36.3
2025-04-02,16:18:00,code,487705 kB,9.2
2025-04-02,16:30:00,csgo_linux,2079125 kB,25.8
2025-04-02,16:32:00,gnome-shell,149130 kB,4.2
2025-04-02,16:41:00,csgo_linux,1341952 kB,31.3
2025-04-02,16:42:00,steam,766117 kB,28.7
2025-04-02,16:57:00,steam,600638 kB,5.5
2025-04-02,17:12:00,spotify,154226 kB,4.6
2025-04-02,17:26:00,firefox,999931 kB,14.9
2025-04-02,17:39:00,postman,317607 kB,7.4
2025-04-02,17:53:00,firefox,611699 kB,18.0
2025-04-02,17:57:00,chrome,1074972 kB,15.0
2025-04-02,17:58:00,firefox,707232 kB,4.9
2025-04-02,18:07:00,minecraft,1362411 kB,60.8
2025-04-02,18:18:00,minecraft,1425350 kB,65.7
2025-04-02,18:19:00,firefox,943600 kB,21.0
2025-04-02,18:33:00,gradle,416072 kB,28.2
2025-04-02,18:44:00,code,358476 kB,12.3
2025-04-02,18:46:00,obs,439701 kB,31.0
2025-04-02,18:55:00,gnome-shell,191845 kB,3.1
2025-04-02,19:00:00,firefox,589968 kB,13.4
2025-04-02,19:02:00,obs,422776 kB,13.5
2025-04-02,19:04:00,chrome,1099985 kB,17.2
2025-04-02,19:15:00,code,289242 kB,14.8
2025-04-02,19:28:00,Xorg,88792 kB,1.6
2025-04-02,19:40:00,chrome,783532 kB,19.3
2025-04-02,19:44:00,postman,168324 kB,8.8
2025-04-02,19:48:00,minecraft,960354 kB,45.0
2025-04-02,19:55:00,obs,213233 kB,15.3
2025-04-02,19:57:00,csgo_linux,1215919 kB,64.5
2025-04-02,20:09:00,gradle,427116 kB,13.5
2025-04-02,20:21:00,android-studio,1943410 kB,24.5
2025-04-02,20:24:00,chrome,539869 kB,24.5
2025-04-02,20:26:00,gnome-shell,216651 kB,5.9
2025-04-02,20:27:00,discord,280305 kB,8.6
2025-04-02,20:36:00,csgo_linux,1436081 kB,59.8
2025-04-02,20:46:00,gnome-shell,182205 kB,2.5
2025-04-02,20:49:00,obs,259216 kB,33.6
2025-04-02,20:50:00,chrome,697486 kB,21.7
2025-04-02,20:52:00,gnome-shell,142026 kB,3.8
2025-04-02,20:54:00,csgo_linux,1428428 kB,69.0
2025-04-02,21:08:00,code,452091 kB,6.5
2025-04-02,21:16:00,obs,339919 kB,31.6
2025-04-02,21:27:00,steam,632107 kB,35.8
2025-04-02,21:32:00,firefox,656442 kB,12.1
2025-04-02,21:34:00,discord,180114 kB,7.1
2025-04-02,21:39:00,obs,539508 kB,31.4
2025-04-02,21:40:00,postman,296839 kB,6.3
2025-04-02,21:45:00,android-studio,1968851 kB,47.3
2025-04-02,21:52:00,gnome-shell,127510 kB,4.1
2025-04-02,22:01:00,gnome-shell,149817 kB,2.4
2025-04-02,22:16:00,chrome,755760 kB,26.0
2025-04-02,22:30:00,code,374821 kB,7.8
2025-04-02,22:34:00,steam,527345 kB,38.7
2025-04-02,22:38:00,spotify,191675 kB,2.9
2025-04-02,22:45:00,code,296292 kB,8.2
2025-04-02,22:52:00,chrome,1065511 kB,10.2
2025-04-02,23:02:00,firefox,614746 kB,7.9
2025-04-02,23:05:00,code,358351 kB,8.5
2025-04-02,23:15:00,android-studio,1751423 kB,36.2
2025-04-02,23:25:00,firefox,567180 kB,6.4
2025-04-02,23:27:00,discord,419524 kB,3.1
2025-04-02,23:42:00,postman,229971 kB,9.4
2025-04-02,23:43:00,android-studio,1653834 kB,26.5
2025-04-02,23:57:00,android-studio,1484327 kB,12.0
2025-04-03,00:00:00,code,531537 kB,10.7
2025-04-03,00:04:00,Xorg,75461 kB,1.3
2025-04-03,00:13:00,chrome,520648 kB,5.8
2025-04-03,00:28:00,discord,401733 kB,11.0
2025-04-03,00:37:00,chrome,641540 kB,17.1
2025-04-03,00:42:00,code,385691 kB,9.5
2025-04-03,00:50:00,code,302379 kB,13.0
2025-04-03,01:02:00,chrome,1401240 kB,16.9
2025-04-03,01:06:00,discord,438816 kB,3.8
2025-04-03,01:09:00,chrome,556003 kB,13.2
2025-04-03,01:24:00,android-studio,1831156 kB,22.5
2025-04-03,01:31:00,discord,324304 kB,2.7
2025-04-03,01:42:00,emulator,2391797 kB,34.6
2025-04-03,01:54:00,code,490601 kB,7.3
2025-04-03,01:55:00,discord,201947 kB,9.9
2025-04-03,01:57:00,spotify,298343 kB,3.1
2025-04-03,02:05:00,gnome-shell,191449 kB,3.3
2025-04-03,02:07:00,zoom,373092 kB,14.0
2025-04-03,02:11:00,firefox,838802 kB,9.0
2025-04-03,02:13:00,code,497843 kB,9.4
2025-04-03,02:16:00,chrome,922743 kB,10.8
2025-04-03,02:25:00,chrome,1152769 kB,14.1
2025-04-03,02:35:00,code,413818 kB,12.2
2025-04-03,02:50:00,firefox,545034 kB,3.1
2025-04-03,02:52:00,emulator,1780969 kB,41.5
2025-04-03,02:55:00,minecraft,833678 kB,67.2
2025-04-03,02:59:00,minecraft,1058097 kB,49.8
2025-04-03,03:01:00,obs,455505 kB,15.3
2025-04-03,03:04:00,code,477122 kB,8.3
2025-04-03,03:18:00,spotify,159132 kB,1.1
2025-04-03,03:30:00,zoom,372687 kB,16.1
2025-04-03,03:34:00,obs,284282 kB,22.9
2025-04-03,03:40:00,csgo_linux,1261081 kB,64.6
2025-04-03,03:41:00,code,353815 kB,8.2
2025-04-03,03:53:00,minecraft,839382 kB,44.6
2025-04-03,03:55:00,firefox,423373 kB,8.4
2025-04-03,04:10:00,steam,378325 kB,30.7
2025-04-03,04:25:00,discord,229975 kB,6.5
2025-04-03,04:36:00,obs,391993 kB,32.6
2025-04-03,04:43:00,zoom,327703 kB,9.6
2025-04-03,04:49:00,steam,459819 kB,6.3
2025-04-03,04:54:00,firefox,1107718 kB,17.8
2025-04-03,04:55:00,minecraft,1521148 kB,54.3
2025-04-03,05:08:00,zoom,383108 kB,13.7
2025-04-03,05:17:00,csgo_linux,1881611 kB,46.6
2025-04-03,05:23:00,steam,381690 kB,30.3
2025-04-03,05:28:00,Xorg,63340 kB,1.0
2025-04-03,05:43:00,android-studio,1259346 kB,37.6
2025-04-03,05:44:00,firefox,426231 kB,11.7
2025-04-03,05:54:00,firefox,856713 kB,12.9
2025-04-03,06:00:00,firefox,1146115 kB,12.3
2025-04-03,06:11:00,discord,446132 kB,2.7
2025-04-03,06:25:00,obs,494100 kB,17.9
2025-04-03,06:37:00,firefox,961366 kB,8.3
2025-04-03,06:48:00,firefox,783648 kB,16.4
2025-04-03,07:01:00,android-studio,1982385 kB,23.8
2025-04-03,07:03:00,postman,330757 kB,8.9
2025-04-03,07:18:00,emulator,2090080 kB,54.2
2025-04-03,07:19:00,firefox,923939 kB,4.7
2025-04-03,07:23:00,Xorg,63570 kB,1.3
2025-04-03,07:31:00,code,459233 kB,11.2
2025-04-03,07:46:00,firefox,647753 kB,16.7
2025-04-03,07:49:00,firefox,666697 kB,2.2
2025-04-03,07:56:00,zoom,243335 kB,16.2
2025-04-03,08:05:00,csgo_linux,1216198 kB,58.8
2025-04-03,08:20:00,gnome-shell,137748 kB,4.7
2025-04-03,08:35:00,emulator,2352600 kB,64.1
2025-04-03,08:44:00,obs,343935 kB,22.9
2025-04-03,08:53:00,discord,324174 kB,2.5
2025-04-03,09:04:00,discord,193205 kB,9.0
2025-04-03,09:11:00,firefox,1171558 kB,2.5
2025-04-03,09:13:00,firefox,674589 kB,13.3
2025-04-03,09:15:00,zoom,282654 kB,4.8
2025-04-03,09:18:00,firefox,585375 kB,4.8
2025-04-03,09:23:00,emulator,1635160 kB,19.3
2025-04-03,09:29:00,minecraft,1167151 kB,39.4
2025-04-03,09:39:00,obs,342992 kB,29.7
2025-04-03,09:50:00,zoom,309571 kB,11.6
2025-04-03,10:03:00,gradle,576939 kB,10.2
2025-04-03,10:16:00,minecraft,1140946 kB,34.6
2025-04-03,10:20:00,gnome-shell,190636 kB,2.1
2025-04-03,10:26:00,gradle,638210 kB,18.0
2025-04-03,10:40:00,chrome,1176576 kB,21.3
2025-04-03,10:54:00,discord,402056 kB,3.7
2025-04-03,11:08:00,obs,232474 kB,29.7
2025-04-03,11:20:00,steam,718778 kB,12.4
2025-04-03,11:35:00,discord,435775 kB,5.2
2025-04-03,11:45:00,android-studio,1293046 kB,21.2
2025-04-03,11:56:00,firefox,578943 kB,6.4
2025-04-03,12:05:00,android-studio,1082818 kB,20.8
2025-04-03,12:13:00,spotify,178442 kB,6.1
2025-04-03,12:19:00,gnome-shell,175145 kB,2.0
2025-04-03,12:34:00,firefox,741950 kB,11.5
2025-04-03,12:37:00,code,311228 kB,10.8
2025-04-03,12:52:00,gnome-shell,218151 kB,2.0
2025-04-03,13:00:00,discord,288923 kB,3.6
2025-04-03,13:15:00,postman,270974 kB,6.3
2025-04-03,13:22:00,obs,598765 kB,8.1
2025-04-03,13:32:00,spotify,187834 kB,5.1
2025-04-03,13:43:00,chrome,766173 kB,7.7
2025-04-03,13:57:00,obs,207540 kB,32.8
2025-04-03,14:07:00,postman,199553 kB,7.7
2025-04-03,14:10:00,firefox,542447 kB,10.4
2025-04-03,14:21:00,minecraft,1186779 kB,52.2
2025-04-03,14:29:00,discord,364543 kB,3.6
2025-04-03,14:42:00,minecraft,1544403 kB,33.7
2025-04-03,14:45:00,emulator,2255976 kB,63.6
2025-04-03,14:56:00,emulator,1899845 kB,34.4
2025-04-03,14:59:00,chrome,699257 kB,16.0
2025-04-03,15:01:00,chrome,1171146 kB,12.1
2025-04-03,15:14:00,steam,687162 kB,20.9
2025-04-03,15:24:00,minecraft,881469 kB,63.8
2025-04-03,15:35:00,chrome,1152676 kB,14.1
2025-04-03,15:38:00,firefox,496237 kB,9.7
2025-04-03,15:40:00,discord,330912 kB,2.0
2025-04-03,15:41:00,android-studio,1118778 kB,12.4
2025-04-03,15:56:00,minecraft,1493911 kB,40.3
2025-04-03,16:08:00,gradle,556893 kB,21.0
2025-04-03,16:10:00,postman,189829 kB,6.3
2025-04-03,16:13:00,steam,673260 kB,16.0
2025-04-03,16:24:00,emulator,2435107 kB,59.4
2025-04-03,16:38:00,steam,214108 kB,11.9
2025-04-03,16:51:00,gnome-shell,139884 kB,1.2
2025-04-03,16:59:00,firefox,832870 kB,17.9
2025-04-03,17:05:00,code,512797 kB,8.0
2025-04-03,17:20:00,emulator,2330112 kB,22.7
2025-04-03,17:22:00,chrome,948427 kB,19.5
2025-04-03,17:33:00,gnome-shell,121242 kB,3.2
2025-04-03,17:43:00,obs,285807 kB,10.1
2025-04-03,17:55:00,zoom,221157 kB,4.0
2025-04-03,18:02:00,gnome-shell,165663 kB,2.7
2025-04-03,18:12:00,zoom,314486 kB,10.7
2025-04-03,18:22:00,gnome-shell,124963 kB,5.7
2025-04-03,18:24:00,obs,267570 kB,11.4
2025-04-03,18:26:00,firefox,1182230 kB,16.0
2025-04-03,18:31:00,android-studio,1220201 kB,25.2
2025-04-03,18:44:00,steam,221770 kB,38.6
2025-04-03,18:54:00,obs,572841 kB,20.1
2025-04-03,18:56:00,minecraft,1269440 kB,68.2
2025-04-03,19:03:00,android-studio,1402180 kB,28.3
2025-04-03,19:11:00,obs,325672 kB,24.1
2025-04-03,19:25:00,csgo_linux,2178855 kB,47.1
2025-04-03,19:39:00,discord,249557 kB,7.1
2025-04-03,19:53:00,firefox,818869 kB,7.5
2025-04-03,20:03:00,gnome-shell,194917 kB,2.7
2025-04-03,20:12:00,steam,755963 kB,31.9
2025-04-03,20:13:00,code,482408 kB,8.6
2025-04-03,20:17:00,postman,246805 kB,9.8
2025-04-03,20:26:00,steam,212552 kB,12.0
2025-04-03,20:33:00,obs,466291 kB,20.0
2025-04-03,20:44:00,firefox,848520 kB,12.7
2025-04-03,20:59:00,discord,358002 kB,14.1
